row.ID,Fold_changed,rank,group
9449,-3.82174045,1,0.5
9243,-3.791182911,2,0.5
5879,-3.776338726,3,0.5
7022,-3.76486311,4,0.5
9530,-3.758307944,5,0.5
6205,-3.74332731,6,0.5
6240,-3.680448832,7,0.5
9452,-3.655446684,8,0.5
6683,-3.630842297,9,0.5
9255,-3.588149188,10,0.5
8376,-3.5758963,11,0.5
8828,-3.552679532,12,0.5
5887,-3.516947227,13,0.5
9496,-3.511535164,14,0.5
8745,-3.496529007,15,0.5
4172,-3.48009723,16,0.5
5888,-3.458360588,17,0.5
9238,-3.401384509,18,0.5
4874,-3.383418702,19,0.5
9590,-3.360850897,20,0.5
6492,-3.358773478,21,0.5
4875,-3.352489894,22,0.5
7916,-3.322027738,23,0.5
9215,-3.322026874,24,0.5
8926,-3.305233855,25,0.5
8827,-3.296593771,26,0.5
6220,-3.269629674,27,0.5
9176,-3.26715262,28,0.5
9107,-3.251519382,29,0.5
7828,-3.248272736,30,0.5
9301,-3.245627424,31,0.5
9158,-3.212230976,32,0.5
3265,-3.21023139,33,0.5
9220,-3.20385478,34,0.5
7938,-3.200672378,35,0.5
9076,-3.195059328,36,0.5
5558,-3.178702626,37,0.5
6103,-3.170987889,38,0.5
9640,-3.169476218,39,0.5
9455,-3.162352494,40,0.5
9242,-3.16142024,41,0.5
9338,-3.157534074,42,0.5
8542,-3.150067103,43,0.5
7827,-3.130733662,44,0.5
8311,-3.130659087,45,0.5
9684,-3.130494589,46,0.5
3310,-3.122686619,47,0.5
9268,-3.096265199,48,0.5
4740,-3.093523486,49,0.5
7452,-3.086715664,50,0.5
4885,-3.081062475,51,0.5
6367,-3.076017751,52,0.5
7269,-3.071943575,53,0.5
9270,-3.06433869,54,0.5
4054,-3.061829307,55,0.5
5937,-3.049682188,56,0.5
9089,-3.048857163,57,0.5
8414,-3.048459871,58,0.5
7023,-3.047899433,59,0.5
7829,-3.044079188,60,0.5
4898,-3.043385128,61,0.5
1779,-3.035497005,62,0.5
4741,-3.034376586,63,0.5
9069,-3.033984497,64,0.5
4872,-3.02906996,65,0.5
9237,-3.027766679,66,0.5
8729,-2.999029328,67,0.5
9518,-2.99680683,68,0.5
6472,-2.996089736,69,0.5
8922,-2.976808337,70,0.5
4899,-2.975971202,71,0.5
6211,-2.971750895,72,0.5
7766,-2.96918828,73,0.5
9564,-2.96414447,74,0.5
6447,-2.961382459,75,0.5
6551,-2.958111894,76,0.5
7764,-2.956018143,77,0.5
7317,-2.954668739,78,0.5
9004,-2.944918584,79,0.5
5875,-2.944335233,80,0.5
4764,-2.940811736,81,0.5
4696,-2.939606312,82,0.5
3827,-2.939369633,83,0.5
6885,-2.939292817,84,0.5
8068,-2.931067419,85,0.5
6521,-2.927525534,86,0.5
8943,-2.920074767,87,0.5
9130,-2.918268131,88,0.5
9538,-2.915080645,89,0.5
6785,-2.912129331,90,0.5
8611,-2.911231957,91,0.5
7526,-2.909624434,92,0.5
9628,-2.906266117,93,0.5
9460,-2.903260389,94,0.5
7931,-2.900722702,95,0.5
8902,-2.898820814,96,0.5
8508,-2.898266552,97,0.5
8513,-2.890960124,98,0.5
9209,-2.890667921,99,0.5
126,-2.886759535,100,0.5
7267,-2.880554373,101,0.5
8942,-2.878508436,102,0.5
9497,-2.878007145,103,0.5
7625,-2.86414529,104,0.5
4761,-2.849655061,105,0.5
6234,-2.84540814,106,0.5
9061,-2.842398775,107,0.5
9087,-2.837028447,108,0.5
4173,-2.835461974,109,0.5
8313,-2.833954647,110,0.5
9108,-2.830058736,111,0.5
8038,-2.826361123,112,0.5
9669,-2.826202917,113,0.5
1687,-2.825722551,114,0.5
9375,-2.824632803,115,0.5
7026,-2.822603899,116,0.5
6060,-2.819651042,117,0.5
7807,-2.816716355,118,0.5
6788,-2.816605523,119,0.5
9402,-2.815708996,120,0.5
3064,-2.810890582,121,0.5
8272,-2.810740341,122,0.5
8874,-2.810685395,123,0.5
8997,-2.806605853,124,0.5
9121,-2.80044532,125,0.5
9304,-2.798650645,126,0.5
5324,-2.798625838,127,0.5
8051,-2.796251534,128,0.5
8787,-2.791921379,129,0.5
9514,-2.789433124,130,0.5
1299,-2.786386907,131,0.5
4171,-2.785983351,132,0.5
7034,-2.78069401,133,0.5
6166,-2.779898376,134,0.5
7813,-2.778487782,135,0.5
7348,-2.778470962,136,0.5
9314,-2.778344788,137,0.5
1654,-2.778019626,138,0.5
9475,-2.774509282,139,0.5
9374,-2.774143364,140,0.5
4884,-2.772316191,141,0.5
4621,-2.767026361,142,0.5
8995,-2.7666549,143,0.5
5775,-2.76649931,144,0.5
9486,-2.763636906,145,0.5
8866,-2.762008335,146,0.5
8164,-2.760238332,147,0.5
4906,-2.758951712,148,0.5
9434,-2.758577447,149,0.5
3042,-2.757625511,150,0.5
1355,-2.757553088,151,0.5
1148,-2.757297498,152,0.5
9447,-2.752396888,153,0.5
9473,-2.752370095,154,0.5
6479,-2.745447697,155,0.5
9551,-2.743892443,156,0.5
4454,-2.742950171,157,0.5
5894,-2.739406741,158,0.5
8770,-2.738199612,159,0.5
5134,-2.737470023,160,0.5
3482,-2.735985137,161,0.5
6106,-2.732225396,162,0.5
564,-2.731557473,163,0.5
2650,-2.730488515,164,0.5
6008,-2.72645236,165,0.5
3749,-2.726260646,166,0.5
6805,-2.722777363,167,0.5
8523,-2.722576157,168,0.5
8543,-2.722011799,169,0.5
2307,-2.721561401,170,0.5
9415,-2.718308532,171,0.5
9403,-2.718028301,172,0.5
8564,-2.716226649,173,0.5
7636,-2.716123543,174,0.5
5273,-2.715274376,175,0.5
3086,-2.71072726,176,0.5
9656,-2.707124365,177,0.5
9073,-2.706509385,178,0.5
7039,-2.705366387,179,0.5
6019,-2.701065713,180,0.5
8190,-2.700693657,181,0.5
1694,-2.700693102,182,0.5
6617,-2.700615729,183,0.5
7890,-2.699647802,184,0.5
9598,-2.697786709,185,0.5
9685,-2.695603835,186,0.5
5211,-2.693712173,187,0.5
4191,-2.69229343,188,0.5
9139,-2.691317983,189,0.5
5481,-2.690463953,190,0.5
7236,-2.689073629,191,0.5
8174,-2.688885243,192,0.5
6448,-2.686667441,193,0.5
9673,-2.682910815,194,0.5
8967,-2.682648728,195,0.5
8670,-2.680251164,196,0.5
6251,-2.679591994,197,0.5
8071,-2.678046433,198,0.5
6694,-2.676566014,199,0.5
5321,-2.674711645,200,0.5
3041,-2.674626196,201,0.5
9039,-2.672999463,202,0.5
9049,-2.672902952,203,0.5
6996,-2.670922295,204,0.5
4410,-2.669068097,205,0.5
5577,-2.668732555,206,0.5
8879,-2.66786544,207,0.5
3096,-2.66717578,208,0.5
8979,-2.665873517,209,0.5
7803,-2.665504635,210,0.5
7021,-2.659408348,211,0.5
3804,-2.659345636,212,0.5
8712,-2.659053429,213,0.5
3901,-2.658610317,214,0.5
8170,-2.657855986,215,0.5
4190,-2.657800469,216,0.5
9222,-2.655473478,217,0.5
8608,-2.651706146,218,0.5
7470,-2.65103341,219,0.5
6470,-2.64757628,220,0.5
8404,-2.643046061,221,0.5
4734,-2.642360978,222,0.5
7757,-2.64092034,223,0.5
9647,-2.639799102,224,0.5
4379,-2.639788768,225,0.5
8524,-2.639023414,226,0.5
6508,-2.638860588,227,0.5
7914,-2.636196232,228,0.5
7220,-2.635683189,229,0.5
9128,-2.634945689,230,0.5
4830,-2.633327504,231,0.5
7286,-2.632939652,232,0.5
5027,-2.632751478,233,0.5
7622,-2.63034386,234,0.5
7222,-2.629539512,235,0.5
2821,-2.629053824,236,0.5
7719,-2.627901864,237,0.5
8749,-2.627123687,238,0.5
9129,-2.627032242,239,0.5
9056,-2.626650654,240,0.5
9664,-2.626220967,241,0.5
5968,-2.625958171,242,0.5
4137,-2.62546799,243,0.5
9615,-2.62364589,244,0.5
9361,-2.623429608,245,0.5
1500,-2.623309405,246,0.5
5715,-2.620825786,247,0.5
5351,-2.620336292,248,0.5
4765,-2.620204776,249,0.5
3762,-2.617804658,250,0.5
7325,-2.615301513,251,0.5
5099,-2.613812332,252,0.5
4739,-2.610981854,253,0.5
7907,-2.61011522,254,0.5
7143,-2.609996424,255,0.5
8929,-2.609035703,256,0.5
6375,-2.608430637,257,0.5
4086,-2.607154666,258,0.5
9624,-2.606656275,259,0.5
2437,-2.606331363,260,0.5
6311,-2.606293857,261,0.5
7918,-2.605705849,262,0.5
8970,-2.605129579,263,0.5
9611,-2.605104506,264,0.5
9389,-2.604564888,265,0.5
3063,-2.604239557,266,0.5
9591,-2.603522009,267,0.5
7107,-2.603509426,268,0.5
8412,-2.603358407,269,0.5
9478,-2.602526859,270,0.5
6847,-2.601870577,271,0.5
5757,-2.601731621,272,0.5
6618,-2.601567343,273,0.5
9086,-2.600858972,274,0.5
8665,-2.599082974,275,0.5
9256,-2.598701456,276,0.5
4908,-2.598039363,277,0.5
7185,-2.596382858,278,0.5
9008,-2.595446189,279,0.5
7032,-2.59535397,280,0.5
7637,-2.595124367,281,0.5
6487,-2.595062971,282,0.5
6594,-2.594148337,283,0.5
7792,-2.593793124,284,0.5
8947,-2.592265889,285,0.5
4059,-2.592060696,286,0.5
8666,-2.591293593,287,0.5
7946,-2.591215859,288,0.5
1877,-2.59101281,289,0.5
7585,-2.590092378,290,0.5
7793,-2.588982145,291,0.5
4485,-2.587958824,292,0.5
8915,-2.587636145,293,0.5
9635,-2.587188694,294,0.5
6002,-2.586534971,295,0.5
6752,-2.585145814,296,0.5
9400,-2.584935744,297,0.5
6676,-2.584304922,298,0.5
7675,-2.58389163,299,0.5
5985,-2.583554629,300,0.5
9563,-2.583198774,301,0.5
5010,-2.582987759,302,0.5
9507,-2.582692064,303,0.5
7935,-2.582040775,304,0.5
9549,-2.581441591,305,0.5
5436,-2.581216475,306,0.5
8946,-2.579098217,307,0.5
5325,-2.579050714,308,0.5
3519,-2.579038757,309,0.5
6615,-2.57785236,310,0.5
1900,-2.576816952,311,0.5
9586,-2.576702866,312,0.5
5797,-2.575187845,313,0.5
8849,-2.572736556,314,0.5
4996,-2.572222203,315,0.5
3809,-2.571600509,316,0.5
4181,-2.571592383,317,0.5
8835,-2.570624383,318,0.5
1824,-2.570366428,319,0.5
2058,-2.569401132,320,0.5
8139,-2.569327083,321,0.5
9660,-2.568583713,322,0.5
7000,-2.567163199,323,0.5
8705,-2.566177038,324,0.5
5786,-2.566072086,325,0.5
7518,-2.565921442,326,0.5
3043,-2.565532083,327,0.5
7296,-2.564020804,328,0.5
9404,-2.563661788,329,0.5
9122,-2.563646626,330,0.5
5974,-2.563376985,331,0.5
7182,-2.559837061,332,0.5
4698,-2.559781402,333,0.5
