row.ID,Fold_changed,rank,group
9050,-4.247138226,1,0.5
6205,-4.197172979,2,0.5
6240,-4.069694758,3,0.5
6683,-4.016490132,4,0.5
8828,-3.552679532,5,0.5
7450,-3.499089266,6,0.5
8745,-3.496529007,7,0.5
9301,-3.245627424,8,0.5
1148,-3.240471736,9,0.5
5485,-3.225009853,10,0.5
3265,-3.21023139,11,0.5
9242,-3.16142024,12,0.5
9684,-3.130494589,13,0.5
2806,-3.019439946,14,0.5
8729,-2.999029328,15,0.5
3231,-2.98781931,16,0.5
9087,-2.978076957,17,0.5
9564,-2.96414447,18,0.5
5486,-2.942238445,19,0.5
9524,-2.910228103,20,0.5
8946,-2.899126229,21,0.5
1094,-2.889131514,22,0.5
4886,-2.879298657,23,0.5
1395,-2.878047361,24,0.5
7173,-2.876184263,25,0.5
9375,-2.824632803,26,0.5
6453,-2.815036899,27,0.5
9491,-2.808317272,28,0.5
7364,-2.763732624,29,0.5
9486,-2.763636906,30,0.5
8165,-2.724837669,31,0.5
9158,-2.718594633,32,0.5
9415,-2.718308532,33,0.5
1306,-2.7117997,34,0.5
5854,-2.707649384,35,0.5
9656,-2.707124365,36,0.5
9673,-2.682910815,37,0.5
4181,-2.68247172,38,0.5
1453,-2.672237515,39,0.5
4410,-2.669068097,40,0.5
8879,-2.66786544,41,0.5
7803,-2.665504635,42,0.5
4454,-2.657816456,43,0.5
4190,-2.657800469,44,0.5
9647,-2.639799102,45,0.5
3310,-2.633567517,46,0.5
2821,-2.629053824,47,0.5
9611,-2.605104506,48,0.5
2390,-2.60408924,49,0.5
9256,-2.598701456,50,0.5
1355,-2.594124372,51,0.5
9092,-2.591659832,52,0.5
5719,-2.580089143,53,0.5
6615,-2.57785236,54,0.5
8361,-2.576849108,55,0.5
8849,-2.572736556,56,0.5
8705,-2.566177038,57,0.5
8593,-2.565316572,58,0.5
8668,-2.561378764,59,0.5
6224,-2.558610909,60,0.5
6116,-2.554869323,61,0.5
3731,-2.554017796,62,0.5
8938,-2.545954062,63,0.5
6220,-2.538547135,64,0.5
126,-2.535700677,65,0.5
2756,-2.524559284,66,0.5
8937,-2.524547066,67,0.5
786,-2.52027021,68,0.5
6618,-2.519032455,69,0.5
6002,-2.51243325,70,0.5
9315,-2.512318215,71,0.5
3086,-2.511686803,72,0.5
8071,-2.508988437,73,0.5
8558,-2.508346712,74,0.5
4668,-2.507495012,75,0.5
6940,-2.506850996,76,0.5
1257,-2.506111557,77,0.5
9388,-2.50601707,78,0.5
9353,-2.504265339,79,0.5
4737,-2.495366827,80,0.5
6947,-2.493701158,81,0.5
1307,-2.49310936,82,0.5
9531,-2.49220587,83,0.5
4525,-2.487851845,84,0.5
5735,-2.485853431,85,0.5
2437,-2.483924963,86,0.5
8911,-2.482524599,87,0.5
581,-2.477541879,88,0.5
759,-2.475367072,89,0.5
8963,-2.473385111,90,0.5
6226,-2.471564595,91,0.5
911,-2.471155205,92,0.5
1999,-2.469582292,93,0.5
4343,-2.469499225,94,0.5
9080,-2.469222457,95,0.5
3132,-2.464690528,96,0.5
6785,-2.464610739,97,0.5
6956,-2.462572099,98,0.5
8611,-2.461915043,99,0.5
5587,-2.457917086,100,0.5
2391,-2.452907383,101,0.5
8734,-2.451465119,102,0.5
8912,-2.451179305,103,0.5
7937,-2.45014165,104,0.5
9667,-2.449065597,105,0.5
4784,-2.446743328,106,0.5
9431,-2.444534981,107,0.5
1816,-2.441347985,108,0.5
3249,-2.440133584,109,0.5
4138,-2.439027819,110,0.5
